City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
Zaigrayevo,RU,51.8336,108.2703,61.09,43,59,2.13,broken clouds,2023-06-10 17:13:22
Dingle,PH,10.9995,122.6711,78.37,89,100,6.64,overcast clouds,2023-06-10 17:13:22
Zanjan,IR,36.6736,48.4787,68.49,56,39,5.23,scattered clouds,2023-06-10 17:13:22
Novo Cruzeiro,BR,-17.4681,-41.8753,79.34,44,36,1.54,scattered clouds,2023-06-10 17:13:23
Payo,ID,-3.7508,103.6372,73.99,92,4,2.57,clear sky,2023-06-10 17:13:23
Avarua,CK,-21.2078,-159.775,71.65,100,20,2.3,few clouds,2023-06-10 17:13:23
Mount Pleasant,US,32.7941,-79.8626,86.18,42,0,5.75,clear sky,2023-06-10 17:10:19
Longyearbyen,SJ,78.2186,15.6401,40.84,81,75,3.44,light rain,2023-06-10 17:09:03
Chenzhou,CN,25.8,113.0333,76.8,78,92,3.11,overcast clouds,2023-06-10 17:13:23
Ranong,TH,9.9658,98.6348,78.96,88,100,9.08,overcast clouds,2023-06-10 17:13:23
Sinnamary,GF,5.3833,-52.95,85.06,69,22,10.04,few clouds,2023-06-10 17:13:23
Cayenne,GF,4.9333,-52.3333,84.24,70,75,6.91,broken clouds,2023-06-10 17:13:23
Geraldton,AU,-28.7667,114.6,59.41,94,100,6.91,light intensity shower rain,2023-06-10 17:13:23
Jinchang,CN,38.4953,102.1739,77.4,18,100,4.18,overcast clouds,2023-06-10 17:13:24
Stokmarknes,NO,68.5646,14.9108,55.38,62,0,8.05,clear sky,2023-06-10 17:13:24
Bairnsdale,AU,-37.8333,147.6167,43.05,83,34,4.9,scattered clouds,2023-06-10 17:13:24
College,US,64.8569,-147.8028,63.09,59,40,6.91,scattered clouds,2023-06-10 17:09:12
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.07,67,51,8.97,broken clouds,2023-06-10 17:13:24
Yelets,RU,52.6237,38.5017,59.16,72,99,11.03,overcast clouds,2023-06-10 17:10:42
Tautira,PF,-17.7333,-149.15,77.29,69,98,14.61,overcast clouds,2023-06-10 17:13:24
Jucuaran,SV,13.2539,-88.2478,82.85,47,92,2.75,overcast clouds,2023-06-10 17:13:24
Coahuayana,MX,18.7333,-103.6833,89.89,55,93,6.71,overcast clouds,2023-06-10 17:13:25
Gornyy,RU,55.1153,83.9059,53.91,76,100,5.32,overcast clouds,2023-06-10 17:13:25
Kipushi,CD,-11.7667,27.2333,67.89,44,36,3.04,scattered clouds,2023-06-10 17:13:25
Kaitangata,NZ,-46.2817,169.8464,36.68,70,56,4.27,broken clouds,2023-06-10 17:13:25
Zenzeli,RU,45.9241,47.0474,75.94,46,100,15.61,overcast clouds,2023-06-10 17:13:25
Svetlogorsk,BY,52.6333,29.7333,56.62,87,100,13.56,overcast clouds,2023-06-10 17:13:25
Mahanoro,MG,-19.9,48.8,71.65,85,0,5.46,clear sky,2023-06-10 17:13:26
Taltal,CL,-25.4,-70.4833,64.78,73,31,6.73,scattered clouds,2023-06-10 17:13:26
Billings,US,45.7833,-108.5007,64.17,84,100,10.36,moderate rain,2023-06-10 17:13:26
Itarema,BR,-2.9248,-39.9167,83.86,70,34,14.79,scattered clouds,2023-06-10 17:13:27
Campo Grande,BR,-20.4428,-54.6464,87.35,29,0,8.05,clear sky,2023-06-10 17:13:03
Manica,FR,49.0,-1.1667,70.25,71,76,6.29,heavy intensity rain,2023-06-10 17:13:27
Santa Maria,BR,-29.6842,-53.8069,69.66,78,94,2.95,light rain,2023-06-10 17:08:30
Carutapera,BR,-1.195,-46.02,86.81,63,43,10.51,scattered clouds,2023-06-10 17:13:27
Vila Velha,BR,-20.3297,-40.2925,87.75,59,40,4.61,scattered clouds,2023-06-10 17:13:02
Biak,ID,-0.9131,122.8766,76.69,87,63,5.23,broken clouds,2023-06-10 17:13:27
Mawlaik,MM,23.6333,94.4167,84.65,64,100,1.32,overcast clouds,2023-06-10 17:13:27
Okha,RU,53.5739,142.9478,54.21,75,100,13.27,light rain,2023-06-10 17:13:28
Christchurch,NZ,-43.5333,172.6333,47.95,100,18,1.14,few clouds,2023-06-10 17:12:40
Eydhafushi,MV,5.1033,73.0708,82.85,83,91,12.15,overcast clouds,2023-06-10 17:13:28
Puri,IN,19.8,85.85,84.72,68,100,15.39,overcast clouds,2023-06-10 17:13:28
Ocampo,MX,21.65,-101.5,81.36,16,24,11.63,few clouds,2023-06-10 17:13:28
Meridian,US,43.6121,-116.3915,71.35,74,100,6.91,overcast clouds,2023-06-10 17:13:28
Palmeirais,BR,-5.9778,-43.0633,93.94,36,36,5.82,scattered clouds,2023-06-10 17:11:17
Kargasok,RU,59.0556,80.8572,52.99,50,0,6.71,clear sky,2023-06-10 17:13:28
Mende,FR,44.6667,3.5,60.19,90,51,4.81,broken clouds,2023-06-10 17:13:29
Lata,PT,40.1629,-8.3327,71.92,62,100,5.99,overcast clouds,2023-06-10 17:13:29
Filingue,NE,14.3521,3.3168,102.11,21,69,4.76,broken clouds,2023-06-10 17:13:29
Romny,UA,50.751,33.4747,62.35,89,100,8.77,moderate rain,2023-06-10 17:13:29
Oriximina,BR,-1.7656,-55.8661,90.91,50,14,5.59,light rain,2023-06-10 17:13:29
Molchanovo,RU,57.5817,83.7692,49.98,63,38,3.31,scattered clouds,2023-06-10 17:13:29
Skagen,DK,57.7209,10.5839,61.05,65,3,12.86,clear sky,2023-06-10 17:13:29
Camacha,PT,33.0833,-16.3333,69.22,78,40,9.22,scattered clouds,2023-06-10 17:13:29
Hanzhong,CN,33.0728,107.0303,72.68,64,100,2.64,overcast clouds,2023-06-10 17:13:29
Dale,US,38.1689,-86.99,84.72,32,0,9.22,haze,2023-06-10 17:13:29
Iqaluit,CA,63.7506,-68.5145,38.93,69,75,21.85,broken clouds,2023-06-10 17:13:30
Pascagoula,US,30.3658,-88.5561,92.12,61,0,5.75,clear sky,2023-06-10 17:13:30
Yarkovo,RU,57.4028,67.0786,55.65,64,18,7.05,few clouds,2023-06-10 17:13:30
Tolaga Bay,NZ,-38.3667,178.3,51.31,89,85,13.47,overcast clouds,2023-06-10 17:13:30
Okhotsk,RU,59.3833,143.3,43.27,90,97,8.25,overcast clouds,2023-06-10 17:13:30
Chumikan,RU,54.7183,135.315,48.27,99,100,3.78,overcast clouds,2023-06-10 17:13:30
Ancud,CL,-41.8697,-73.8203,47.62,68,57,7.72,broken clouds,2023-06-10 17:09:04
Mazagao,BR,-0.115,-51.2894,91.45,59,14,6.51,few clouds,2023-06-10 17:13:30
Mogocha,RU,53.7333,119.7667,51.1,88,6,1.63,clear sky,2023-06-10 17:13:15
Lagoa,PT,39.05,-27.9833,64.22,71,30,16.24,scattered clouds,2023-06-10 17:13:31
Adrar,MR,20.5022,-10.0711,105.1,9,0,13.47,clear sky,2023-06-10 17:13:31
Rincon,US,32.296,-81.2354,85.91,47,20,3.44,few clouds,2023-06-10 17:11:05
Motygino,RU,58.1831,94.7592,52.52,77,87,4.27,overcast clouds,2023-06-10 17:13:31
Pokhara,NP,28.2333,83.9833,83.07,42,97,4.61,overcast clouds,2023-06-10 17:13:31
Ubata,BR,-14.2139,-39.5228,81.52,58,71,5.37,broken clouds,2023-06-10 17:13:31
Hasaki,JP,35.7333,140.8333,69.22,95,100,6.35,overcast clouds,2023-06-10 17:13:31
Virovitica,HR,45.8319,17.3839,69.08,88,97,3.47,light rain,2023-06-10 17:13:31
Stornoway,GB,58.2093,-6.3865,70.09,63,0,3.44,clear sky,2023-06-10 17:13:31
Khodz,RU,44.5102,40.7142,64.27,92,100,3.06,overcast clouds,2023-06-10 17:13:31
General Roca,AR,-39.0333,-67.5833,51.62,30,34,17.34,scattered clouds,2023-06-10 17:13:32
Jaleswar,NP,26.6471,85.8008,90.1,52,85,19.77,overcast clouds,2023-06-10 17:13:32
Sarmanovo,RU,55.2553,52.5891,54.28,69,62,7.85,broken clouds,2023-06-10 17:13:32
Sisimiut,GL,66.9395,-53.6735,46.49,49,100,42.14,overcast clouds,2023-06-10 17:12:11
Aripuana,BR,-9.1667,-60.6333,93.76,37,63,3.62,broken clouds,2023-06-10 17:11:55
Saint-Pierre,RE,-21.3393,55.4781,74.88,69,0,5.75,clear sky,2023-06-10 17:13:32
Odweyne,SO,9.4092,45.064,82.35,45,64,17.56,broken clouds,2023-06-10 17:13:32
Dharchula,IN,29.85,80.5333,73.96,44,42,7.9,scattered clouds,2023-06-10 17:13:32
High Rock,BS,26.6208,-78.2833,87.82,66,0,6.42,clear sky,2023-06-10 17:13:32
Poum,NC,-20.2333,164.0167,72.32,75,55,17.13,broken clouds,2023-06-10 17:13:33
Aswan,EG,24.0934,32.907,97.65,16,0,12.77,clear sky,2023-06-10 17:13:33
Tommot,RU,58.9564,126.2925,53.76,90,80,2.8,broken clouds,2023-06-10 17:13:33
Ixtapa,MX,20.7,-105.2,90.23,55,0,5.75,clear sky,2023-06-10 17:13:33
Itaituba,BR,-4.2761,-55.9836,91.56,62,40,6.91,scattered clouds,2023-06-10 17:13:33
Wanning,CN,18.8003,110.3967,79.57,89,42,4.32,scattered clouds,2023-06-10 17:13:33
Roald,NO,62.5833,6.1333,72.52,42,0,3.44,clear sky,2023-06-10 17:13:33
Torbay,CA,47.6666,-52.7314,49.28,97,100,5.75,mist,2023-06-10 17:13:33
Fairview,US,40.8126,-73.999,76.78,44,75,13.8,broken clouds,2023-06-10 17:13:33
Huanren,CN,41.2647,125.3667,54.84,99,100,2.73,light rain,2023-06-10 17:13:34
Pangody,RU,65.85,74.4859,55.02,44,100,18.34,overcast clouds,2023-06-10 17:13:34
Guarda,PT,40.5373,-7.2658,66.49,63,100,5.68,overcast clouds,2023-06-10 17:11:48
Muravlenko,RU,63.7898,74.523,52.79,50,100,17.11,overcast clouds,2023-06-10 17:13:34
Esperance,AU,-33.8667,121.9,57.04,72,12,16.46,few clouds,2023-06-10 17:11:14
Quatre Cocos,MU,-20.2078,57.7625,75.31,70,14,14.07,few clouds,2023-06-10 17:13:34
Maksatikha,RU,57.797,35.8825,53.64,50,78,6.71,broken clouds,2023-06-10 17:13:34
Beringovskiy,RU,63.05,179.3167,37.51,89,100,7.92,light rain,2023-06-10 17:13:34
Tiarei,PF,-17.5333,-149.3333,73.42,66,60,15.12,broken clouds,2023-06-10 17:13:34
Moranbah,AU,-22.0016,148.0466,58.35,94,1,8.3,clear sky,2023-06-10 17:13:35
Nioaque,BR,-21.1353,-55.83,88.32,33,6,9.37,clear sky,2023-06-10 17:13:35
Port-Cartier,CA,50.0334,-66.8654,59.22,67,87,6.98,overcast clouds,2023-06-10 17:13:35
Guerrero Negro,MX,27.9769,-114.0611,66.45,61,82,13.82,broken clouds,2023-06-10 17:12:13
Solwezi,ZM,-12.1688,26.3894,65.26,43,12,2.08,few clouds,2023-06-10 17:13:35
Mopti,ML,14.6667,-4.0,100.44,30,20,11.5,few clouds,2023-06-10 17:13:35
Tingi,TZ,-11.3,35.0333,63.97,73,47,3.51,scattered clouds,2023-06-10 17:13:35
Singida,TZ,-4.8167,34.75,71.73,43,70,10.94,broken clouds,2023-06-10 17:13:35
Laguna,US,38.421,-121.4238,68.29,67,0,5.75,clear sky,2023-06-10 17:13:35
Romanovka,RU,51.7443,42.7527,62.01,88,80,10.38,broken clouds,2023-06-10 17:13:35
Statesboro,US,32.4488,-81.7832,83.73,30,0,0.0,clear sky,2023-06-10 17:13:36
Kishi,NG,9.0833,3.85,84.52,61,86,8.84,overcast clouds,2023-06-10 17:13:36
Baykit,RU,61.67,96.37,50.09,65,97,7.76,overcast clouds,2023-06-10 17:13:36
Sept-Iles,CA,50.2001,-66.3821,59.05,72,94,6.91,overcast clouds,2023-06-10 17:11:23
Kruisfontein,ZA,-34.0033,24.7314,55.89,81,4,4.59,clear sky,2023-06-10 17:13:36
Chupa,RU,66.27,33.0549,54.27,49,97,3.22,overcast clouds,2023-06-10 17:13:36
Bathsheba,BB,13.2167,-59.5167,88.41,70,40,16.11,scattered clouds,2023-06-10 17:13:36
Maxixe,MZ,-23.8597,35.3472,71.42,78,0,4.61,clear sky,2023-06-10 17:13:36
Rio Gallegos,AR,-51.6226,-69.2181,41.07,61,20,30.13,few clouds,2023-06-10 17:11:30
Souillac,MU,-20.5167,57.5167,75.58,73,20,9.22,few clouds,2023-06-10 17:13:37
Minab,IR,27.1467,57.0801,92.66,47,2,5.06,clear sky,2023-06-10 17:13:37
Ranau,MY,5.9538,116.6641,71.35,94,100,1.41,overcast clouds,2023-06-10 17:13:37
Nosy Varika,MG,-20.5833,48.5333,72.64,84,10,6.91,clear sky,2023-06-10 17:13:37
Obera,AR,-27.4871,-55.1199,76.15,53,69,4.63,broken clouds,2023-06-10 17:13:37
Folkestone,GB,51.0833,1.1833,76.71,74,17,14.23,few clouds,2023-06-10 17:13:37
Koungheul,SN,13.9833,-14.8,108.36,15,15,5.26,few clouds,2023-06-10 17:13:37
Nakusp,CA,50.2499,-117.8023,66.54,94,96,2.3,overcast clouds,2023-06-10 17:13:37
Verkhnyaya Toyma,RU,62.2349,44.9985,45.37,65,100,8.59,overcast clouds,2023-06-10 17:13:37
Usinsk,RU,65.9939,57.5281,35.92,96,95,17.09,light rain,2023-06-10 17:13:38
Kolosovka,RU,56.4678,73.611,53.04,83,20,7.29,few clouds,2023-06-10 17:13:38
Xai-Xai,MZ,-25.0519,33.6442,69.8,68,2,9.93,clear sky,2023-06-10 17:13:38
Punta Alta,AR,-38.8759,-62.0736,53.08,44,8,18.03,clear sky,2023-06-10 17:10:44
Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,66,20,7.0,few clouds,2023-06-10 17:13:38
Ariquemes,BR,-9.9133,-63.0408,89.82,54,32,2.98,scattered clouds,2023-06-10 17:13:38
Tazovskiy,RU,67.4667,78.7,47.19,50,74,8.34,broken clouds,2023-06-10 17:13:38
Port Hawkesbury,CA,45.6169,-61.3485,61.92,88,100,11.01,overcast clouds,2023-06-10 17:13:38
Bundaberg,AU,-24.85,152.35,56.21,96,5,3.0,clear sky,2023-06-10 17:13:38
Katobu,ID,-4.9408,122.5276,75.85,92,97,6.2,overcast clouds,2023-06-10 17:13:38
Oceanside,US,33.1959,-117.3795,66.15,87,100,5.75,overcast clouds,2023-06-10 17:13:39
Marzuq,YE,14.4,46.4667,85.69,43,98,7.27,overcast clouds,2023-06-10 17:13:39
Zaysan,KZ,47.4667,84.8667,71.04,60,52,3.74,broken clouds,2023-06-10 17:13:39
Hailey,US,43.5196,-114.3153,66.88,57,100,4.0,overcast clouds,2023-06-10 17:13:39
Bandar-E Lengeh,IR,26.5579,54.8807,89.71,74,0,0.0,haze,2023-06-10 17:13:39
Buraydah,SA,26.326,43.975,99.05,8,59,9.84,broken clouds,2023-06-10 17:13:39
Padang,ID,-0.9492,100.3543,78.85,89,99,3.0,overcast clouds,2023-06-10 17:09:45
Eldorado,BR,-23.7869,-54.2836,82.26,43,0,10.67,clear sky,2023-06-10 17:12:33
Bullhead City,US,35.1478,-114.5683,92.93,20,75,10.36,broken clouds,2023-06-10 17:13:40
Celestun,MX,20.8667,-90.4,86.72,60,7,6.96,clear sky,2023-06-10 17:13:40
Morant Bay,JM,17.8815,-76.4093,90.72,77,96,12.59,overcast clouds,2023-06-10 17:13:40
Rosarito,MX,32.3333,-117.0333,64.26,73,96,7.25,overcast clouds,2023-06-10 17:10:12
Ossora,RU,59.2353,163.0719,47.26,81,25,3.87,scattered clouds,2023-06-10 17:13:40
Xuchang,CN,34.0167,113.8167,77.56,30,66,1.66,broken clouds,2023-06-10 17:13:40
Vestmanna,FO,62.1564,-7.1664,52.72,87,40,10.36,scattered clouds,2023-06-10 17:13:40
Khed Brahma,IN,24.0333,73.05,91.47,51,0,15.66,clear sky,2023-06-10 17:13:40
Rocky Mountain House,CA,52.3668,-114.9188,73.51,49,54,11.5,broken clouds,2023-06-10 17:13:40
Amurrio,ES,43.05,-3.0,77.47,61,93,7.29,overcast clouds,2023-06-10 17:11:41
Port Macquarie,AU,-31.4333,152.9167,45.9,86,0,4.5,clear sky,2023-06-10 17:13:41
Keti Bandar,PK,24.1447,67.4497,85.3,79,1,8.1,clear sky,2023-06-10 17:13:41
Shahr-E Kord,IR,32.3256,50.8644,71.37,23,20,4.61,few clouds,2023-06-10 17:13:41
Catia La Mar,VE,10.6038,-67.0303,93.99,58,50,6.91,scattered clouds,2023-06-10 17:13:41
Filadelfia,US,39.9523,-75.1638,81.48,44,20,13.8,few clouds,2023-06-10 17:11:02
Nishihara,JP,26.1842,127.7558,80.26,95,75,8.05,broken clouds,2023-06-10 17:13:41
Anloga,GH,5.7947,0.8973,76.96,91,100,14.54,moderate rain,2023-06-10 17:13:41
Wajima,JP,37.4,136.9,66.7,88,100,6.78,overcast clouds,2023-06-10 17:13:41
Dalvik,IS,65.9702,-18.5286,53.53,54,94,14.5,light rain,2023-06-10 17:13:41
Bristol,US,41.8334,-71.1662,70.25,71,40,4.0,scattered clouds,2023-06-10 17:11:53
Ucluelet,CA,48.9329,-125.5528,56.08,88,100,3.71,overcast clouds,2023-06-10 17:13:42
Muros,ES,42.7762,-9.0603,71.15,78,49,5.82,scattered clouds,2023-06-10 17:13:42
Eppingen,DE,49.1369,8.9103,84.79,61,40,10.67,scattered clouds,2023-06-10 17:13:42
Vrangel,RU,42.7297,133.0839,54.48,89,65,6.78,broken clouds,2023-06-10 17:13:42
Germenchik,RU,43.5939,43.7661,71.42,78,40,4.47,scattered clouds,2023-06-10 17:13:42
Werda,BW,-25.2667,23.2833,58.15,20,0,2.3,clear sky,2023-06-10 17:13:42
Wattegama,LK,6.7989,81.4808,78.22,81,100,5.73,overcast clouds,2023-06-10 17:13:42
Lumding,IN,25.7535,93.1732,76.21,99,98,2.73,light rain,2023-06-10 17:13:42
Pafos,CY,34.7667,32.4167,73.18,83,20,9.22,few clouds,2023-06-10 17:12:12
Haines Junction,CA,60.7522,-137.5108,55.35,38,73,3.44,broken clouds,2023-06-10 17:13:43
Portree,GB,57.4129,-6.1942,70.52,65,100,1.16,overcast clouds,2023-06-10 17:13:43
Bergerac,FR,44.8333,0.5,82.62,47,79,9.22,broken clouds,2023-06-10 17:13:43
Araouane,ML,18.9048,-3.5265,110.44,8,6,13.78,clear sky,2023-06-10 17:13:43
Praia Da Vitoria,PT,38.7333,-27.0667,70.05,64,20,17.34,few clouds,2023-06-10 17:13:43
Strezhevoy,RU,60.7333,77.5889,52.34,51,16,7.99,few clouds,2023-06-10 17:13:43
Kloulklubed,PW,7.0419,134.2556,83.32,76,99,6.93,overcast clouds,2023-06-10 17:13:43
Calatayud,ES,41.3535,-1.6432,79.81,36,81,4.97,broken clouds,2023-06-10 17:13:43
Valparaiso,CL,-33.0393,-71.6273,62.83,58,0,11.5,clear sky,2023-06-10 17:13:44
Russell,US,32.3502,-85.1999,86.41,39,40,4.61,scattered clouds,2023-06-10 17:13:44
Ustek,CZ,50.5847,14.3433,75.72,52,69,13.65,broken clouds,2023-06-10 17:13:44
Alpena,US,45.0617,-83.4327,73.72,40,40,5.75,scattered clouds,2023-06-10 17:13:44
Axim,GH,4.8699,-2.2405,78.48,83,95,13.42,light rain,2023-06-10 17:13:44
Gondanglegi,ID,-7.7479,112.0132,75.74,87,33,10.22,scattered clouds,2023-06-10 17:13:44
Galich,RU,58.3797,42.3475,47.01,60,59,7.58,broken clouds,2023-06-10 17:13:44
Uray,RU,60.1247,64.7758,52.97,90,91,4.7,light rain,2023-06-10 17:13:44
Zhangye,CN,38.9342,100.4517,76.8,22,100,5.46,overcast clouds,2023-06-10 17:13:44
Korla,CN,41.7597,86.1469,87.24,12,18,1.28,few clouds,2023-06-10 17:10:20
Mao,ES,39.8885,4.2658,75.76,73,20,4.61,few clouds,2023-06-10 17:13:45
Cap Malheureux,MU,-19.9842,57.6142,73.47,74,2,1.01,clear sky,2023-06-10 17:13:45
Banjar,ID,-8.19,114.9675,76.46,87,35,3.83,scattered clouds,2023-06-10 17:13:45
Ajaccio,FR,42.0,8.9167,69.85,78,20,11.5,few clouds,2023-06-10 17:13:45
Manuk Mangkaw,PH,4.8,119.85,83.21,77,100,9.06,overcast clouds,2023-06-10 17:13:45
Santa Rita,BR,-7.1139,-34.9781,84.87,61,20,12.66,few clouds,2023-06-10 17:13:45
Uusikaupunki,FI,60.8004,21.4084,54.88,45,29,6.04,scattered clouds,2023-06-10 17:13:45
New Cumnock,GB,55.3956,-4.1846,82.13,75,44,11.63,scattered clouds,2023-06-10 17:13:45
Cabadiangan,PH,9.7531,122.4739,79.03,89,100,5.12,overcast clouds,2023-06-10 17:13:45
Nuuk,GL,64.1835,-51.7216,43.41,65,75,38.01,broken clouds,2023-06-10 17:08:51
Terney,RU,45.0503,136.6092,51.96,96,89,3.94,overcast clouds,2023-06-10 17:13:46
Balabac,PH,7.9868,117.0645,82.26,82,91,7.83,overcast clouds,2023-06-10 17:13:46
Belaya Gora,RU,68.5333,146.4167,63.57,50,99,4.65,overcast clouds,2023-06-10 17:13:46
Ngunguru,NZ,-35.6167,174.5,49.75,85,13,6.38,few clouds,2023-06-10 17:13:46
San Angelo,US,31.4638,-100.437,94.05,45,0,18.41,clear sky,2023-06-10 17:09:59
Santa Rita Do Passa Quatro,BR,-21.7103,-47.4781,80.6,32,0,5.41,clear sky,2023-06-10 17:13:46
Banda Aceh,ID,5.5577,95.3222,82.69,74,99,11.9,overcast clouds,2023-06-10 17:13:46
Hamilton,US,39.1834,-84.5333,84.02,34,0,8.05,haze,2023-06-10 17:13:46
Yar-Sale,RU,66.8333,70.8333,54.52,51,100,17.0,overcast clouds,2023-06-10 17:13:46
Maldonado,UY,-34.6667,-54.9167,54.79,36,68,11.32,broken clouds,2023-06-10 17:13:47
Zapolyarnyy,RU,69.4154,30.8136,51.08,46,100,5.26,overcast clouds,2023-06-10 17:13:47
Clyde River,CA,70.4692,-68.5914,30.43,93,100,25.32,fog,2023-06-10 17:13:47
Masunga,BW,-20.6246,27.4488,66.36,22,5,7.49,clear sky,2023-06-10 17:11:18
Isabela,PH,6.7085,121.9711,79.18,80,100,4.27,overcast clouds,2023-06-10 17:13:47
Pratapgarh,IN,24.0333,74.7833,92.95,32,4,17.45,clear sky,2023-06-10 17:13:47
Iaciara,BR,-14.0958,-46.6317,91.11,28,33,4.34,scattered clouds,2023-06-10 17:13:47
Urumqi,CN,43.801,87.6005,85.15,15,0,4.47,clear sky,2023-06-10 17:13:47
Bahia Blanca,AR,-38.7196,-62.2724,52.83,37,11,11.99,few clouds,2023-06-10 17:13:47
Alta Floresta,BR,-9.8756,-56.0861,92.26,39,8,2.93,clear sky,2023-06-10 17:10:17
Praya,CV,14.9215,-23.5087,84.74,51,20,20.71,few clouds,2023-06-10 17:13:48
Ahuimanu,US,21.4447,-157.8378,78.51,80,20,9.22,few clouds,2023-06-10 17:13:48
Amalapuram,IN,16.5833,82.0167,88.43,44,100,8.66,overcast clouds,2023-06-10 17:13:48
Glendive,US,47.1053,-104.7125,66.69,59,0,14.97,clear sky,2023-06-10 17:13:48
Ilhabela,BR,-23.7781,-45.3581,82.49,45,0,1.63,clear sky,2023-06-10 17:13:48
Bafra,TR,41.5678,35.9069,64.13,88,54,1.54,broken clouds,2023-06-10 17:13:48
Worland,US,44.0169,-107.9554,70.68,63,100,3.44,overcast clouds,2023-06-10 17:13:48
Bonfim,BR,3.0833,-59.95,90.5,54,25,6.89,scattered clouds,2023-06-10 17:13:49
Zimmi,SL,7.3153,-11.3061,81.25,84,94,5.53,light rain,2023-06-10 17:13:49
Merauke,ID,-8.4667,140.3333,74.86,90,11,11.65,few clouds,2023-06-10 17:13:49
Nguruka,TZ,-5.1092,31.0419,72.72,57,73,4.38,broken clouds,2023-06-10 17:13:49
Mpongwe,ZM,-13.5091,28.155,73.29,31,53,3.13,broken clouds,2023-06-10 17:10:35
La Asuncion,VE,11.0333,-63.8628,87.53,66,5,17.27,clear sky,2023-06-10 17:13:49
Nicoya,CR,10.1483,-85.452,85.3,70,63,3.76,moderate rain,2023-06-10 17:13:49
Vao,NC,-22.6667,167.4833,69.13,60,6,11.54,clear sky,2023-06-10 17:09:43
Lebork,PL,54.5392,17.7501,66.42,45,3,13.67,clear sky,2023-06-10 17:13:49
Kindu,CD,-2.95,25.95,76.12,75,94,2.24,overcast clouds,2023-06-10 17:13:49
Deputatskiy,RU,69.3,139.9,53.04,57,100,5.84,overcast clouds,2023-06-10 17:13:50
Altamont,US,42.2068,-121.7372,65.39,63,20,3.44,few clouds,2023-06-10 17:13:50
Batemans Bay,AU,-35.7167,150.1833,50.09,76,6,3.94,clear sky,2023-06-10 17:13:50
Vanavara,RU,60.34,102.2797,51.94,85,91,2.71,overcast clouds,2023-06-10 17:13:50
Martapura,ID,-3.4167,114.85,78.89,100,90,2.3,overcast clouds,2023-06-10 17:13:50
Suntar,RU,62.1444,117.6319,66.99,50,8,7.49,clear sky,2023-06-10 17:13:50
Denpasar,ID,-8.65,115.2167,80.26,88,40,5.75,scattered clouds,2023-06-10 17:12:54
Khonsa,IN,27.0167,95.5667,70.3,94,99,3.6,overcast clouds,2023-06-10 17:13:50
Ouro Preto Do Oeste,BR,-10.7481,-62.2158,83.41,77,26,2.17,scattered clouds,2023-06-10 17:13:50
Baillif,GP,16.0202,-61.7463,89.1,72,12,18.63,few clouds,2023-06-10 17:13:51
Iglesias,IT,39.3114,8.535,78.78,71,78,7.43,broken clouds,2023-06-10 17:13:51
Makakilo City,US,21.3469,-158.0858,77.32,79,40,9.22,scattered clouds,2023-06-10 17:13:51
Bardiyah,LY,31.7561,25.0865,73.2,65,0,14.9,clear sky,2023-06-10 17:13:51
Elesbao Veloso,BR,-6.2019,-42.1403,88.43,45,48,5.23,scattered clouds,2023-06-10 17:13:51
Lasa,IT,46.6166,10.7002,76.08,69,47,2.75,light rain,2023-06-10 17:13:51
Sinnai,IT,39.3042,9.2036,79.48,75,20,10.36,few clouds,2023-06-10 17:13:51
Capoterra,IT,39.1763,8.9718,80.55,72,20,10.36,few clouds,2023-06-10 17:13:51
Pochutla,MX,15.7432,-96.4661,93.81,49,100,7.38,overcast clouds,2023-06-10 17:13:51
Sheopur,IN,25.6667,76.7,99.79,21,2,11.99,clear sky,2023-06-10 17:13:52
Ambulu,ID,-8.345,113.6058,74.59,92,59,3.18,broken clouds,2023-06-10 17:13:52
Lagos,NG,6.5833,3.75,80.92,88,100,7.92,light rain,2023-06-10 17:13:52
Bonthe,SL,7.5264,-12.505,83.91,73,97,10.92,light rain,2023-06-10 17:13:52
Ihosy,MG,-22.4,46.1167,64.2,33,1,4.34,clear sky,2023-06-10 17:13:52
Tshikapa,CD,-6.4167,20.8,78.53,65,87,3.31,overcast clouds,2023-06-10 17:13:52
Beloha,MG,-25.1667,45.05,66.67,91,0,2.01,clear sky,2023-06-10 17:13:52
Tura,IN,25.5198,90.2201,75.61,94,100,4.27,light rain,2023-06-10 17:13:52
Palmer,US,42.1584,-72.3287,72.57,51,75,6.91,broken clouds,2023-06-10 17:12:58
Oktyabrskoye,RU,43.0645,44.7417,66.34,77,75,0.0,light intensity shower rain,2023-06-10 17:13:53
Barmer,IN,25.75,71.3833,95.67,28,0,13.6,clear sky,2023-06-10 17:13:53
Hovd,MN,48.0056,91.6419,73.04,29,23,2.19,few clouds,2023-06-10 17:13:53
Wucheng,CN,29.6008,118.175,73.71,90,77,1.81,broken clouds,2023-06-10 17:13:53
Sabrum,IN,23.0,91.7319,77.68,94,100,7.72,overcast clouds,2023-06-10 17:13:53
Sorland,NO,67.667,12.6934,51.66,72,69,9.89,broken clouds,2023-06-10 17:13:53
Visnes,NO,59.3556,5.2242,60.85,63,0,14.97,clear sky,2023-06-10 17:13:53
